fps,case,time,step,state,speed,x,y,z,sprint,dodge,input_paused,left_foot_x,left_foot_z,right_foot_x,right_foot_z
30,4,0.2000,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.11,8.97,-36.69,9.44
30,4,0.2333,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.12,8.98,-36.69,9.44
30,4,0.2667,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.12,8.98,-36.68,9.44
30,4,0.3000,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.12,8.98,-36.68,9.43
30,4,0.3333,3,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,8.99,-36.68,9.43
30,4,0.3667,3,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,8.99,-36.67,9.43
30,4,0.4000,3,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.00,-36.66,9.43
30,4,0.4333,3,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.00,-36.66,9.43
30,4,0.4667,3,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.00,-36.66,9.43
30,4,0.5000,3,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.01,-36.65,9.43
30,5,0.0000,0,Ground,0.00,0.00,-900.00,98.00,0,0,0,29.22,17.00,-36.54,17.34
30,5,0.0333,0,JumpStart,47.79,0.80,-900.00,119.12,0,0,0,18.94,34.22,-40.50,36.96
30,5,0.0667,0,JumpStart,71.68,2.79,-900.00,139.16,0,0,0,4.42,61.61,-26.93,69.34
30,5,0.1000,0,JumpStart,95.57,5.58,-900.00,158.10,0,0,0,7.35,83.83,-10.01,99.64
30,5,0.1333,1,JumpStart,119.47,9.16,-900.00,175.96,0,0,0,19.29,106.48,8.65,125.66
30,5,0.1667,1,JumpStart,143.36,13.54,-900.00,192.72,0,0,0,25.61,131.32,24.99,152.51
30,5,0.2000,1,JumpStart,167.25,18.72,-900.00,208.40,0,0,0,28.30,152.19,36.36,176.57
30,5,0.2333,1,JumpStart,191.15,24.69,-900.00,222.99,0,0,0,34.88,175.18,48.29,201.07
30,5,0.2667,1,JumpStart,215.04,31.46,-900.00,236.49,0,0,0,45.70,202.45,61.05,226.67
30,5,0.3000,1,JumpStart,238.93,39.03,-900.00,248.90,0,0,0,55.62,230.69,71.52,250.00
30,5,0.3333,1,JumpStart,262.83,47.39,-900.00,260.22,0,0,0,64.13,256.15,80.28,269.59
30,5,0.3667,1,JumpStart,286.72,56.55,-900.00,270.46,0,0,0,72.71,275.10,88.54,284.76
30,5,0.4000,1,JumpStart,310.61,66.50,-900.00,279.60,0,0,0,83.19,285.31,97.37,295.59
30,5,0.4333,1,JumpStart,334.51,77.26,-900.00,287.66,0,0,0,95.75,289.37,107.11,303.53
30,5,0.4667,1,JumpStart,358.40,88.80,-900.00,294.62,0,0,0,109.64,288.75,117.65,309.06
30,5,0.5000,1,JumpStart,382.29,101.15,-900.00,300.50,0,0,0,124.00,284.60,128.71,312.39
30,5,0.5333,1,JumpStart,406.19,114.29,-900.00,305.29,0,0,0,138.15,278.25,140.00,313.69
30,5,0.5667,1,JumpLoop,430.08,128.23,-900.00,308.99,0,0,0,150.86,267.62,150.07,310.96
30,5,0.6000,1,JumpLoop,450.00,142.90,-900.00,311.60,0,0,0,161.90,257.24,158.93,306.09
30,5,0.6333,1,JumpLoop,450.00,157.90,-900.00,313.12,0,0,0,172.92,250.82,168.38,301.62
30,5,0.6667,1,JumpLoop,450.00,172.90,-900.00,313.56,0,0,0,185.44,246.73,179.79,297.74
30,5,0.7000,1,JumpLoop,450.00,187.90,-900.00,312.90,0,0,0,199.96,244.25,193.77,295.11
30,5,0.7333,1,JumpLoop,450.00,202.90,-900.00,311.16,0,0,0,215.35,242.33,208.90,293.15
30,5,0.7667,1,JumpLoop,450.00,217.90,-900.00,308.32,0,0,0,230.65,239.41,223.84,290.21
30,5,0.8000,1,JumpLoop,450.00,232.90,-900.00,304.40,0,0,0,245.99,235.40,238.51,286.14
30,5,0.8333,1,JumpLoop,450.00,247.90,-900.00,299.39,0,0,0,261.36,230.32,252.98,280.95
30,5,0.8667,1,JumpLoop,450.00,262.90,-900.00,293.29,0,0,0,276.71,224.16,267.35,274.66
30,5,0.9000,1,JumpLoop,450.00,277.90,-900.00,286.10,0,0,0,292.01,216.92,281.71,267.30
30,5,0.9333,1,JumpLoop,450.00,292.90,-900.00,277.82,0,0,0,307.20,208.60,296.16,258.87
30,5,0.9667,1,JumpLoop,450.00,307.90,-900.00,268.46,0,0,0,322.27,199.21,310.76,249.40
30,5,1.0000,1,JumpLoop,450.00,322.90,-900.00,258.00,0,0,0,337.17,188.73,325.38,238.85
30,5,1.0333,1,JumpLoop,450.00,337.90,-900.00,246.46,0,0,0,351.96,177.16,340.02,227.23
30,5,1.0667,1,JumpLoop,450.00,352.90,-900.00,233.82,0,0,0,366.69,164.53,354.70,214.53
30,5,1.1000,1,JumpLoop,450.00,367.90,-900.00,220.10,0,0,0,381.38,150.83,369.44,200.77
30,5,1.1333,1,JumpLoop,450.00,382.90,-900.00,205.29,0,0,0,396.08,136.08,384.28,185.97
30,5,1.1667,1,JumpLoop,450.00,397.90,-900.00,189.39,0,0,0,410.71,120.25,399.25,170.12
30,5,1.2000,1,JumpLoop,450.00,412.90,-900.00,172.40,0,0,0,425.26,103.36,414.40,153.31
30,5,1.2333,1,JumpLoop,450.00,427.90,-900.00,154.32,0,0,0,439.74,85.39,429.72,135.50
30,5,1.2667,1,JumpLoop,450.00,442.90,-900.00,135.16,0,0,0,454.21,66.33,445.16,116.65
30,5,1.3000,1,JumpLoop,450.00,457.90,-900.00,114.90,0,0,0,468.75,46.16,460.64,96.71
30,5,1.3333,1,JumpLoop,450.00,472.90,-900.00,93.56,0,0,0,483.40,24.89,476.12,75.64
30,5,1.3667,1,JumpEnd,0.00,476.04,-900.00,90.15,0,0,1,485.93,20.79,478.90,70.90
30,5,1.4000,1,JumpEnd,0.00,476.04,-900.00,90.15,0,0,1,485.28,16.04,473.54,60.10
30,5,1.4333,1,Ground,0.00,476.04,-900.00,90.15,0,0,1,488.69,10.16,458.60,31.41
30,5,1.4667,1,Ground,0.00,476.04,-900.00,90.15,0,0,1,496.75,8.40,444.22,10.21
30,5,1.5000,1,Ground,68.27,478.31,-900.00,90.15,0,0,0,506.06,8.83,441.61,8.17
30,5,1.5333,1,Ground,136.53,482.87,-900.00,90.15,0,0,0,509.28,9.12,448.22,8.86
30,5,1.5667,1,Ground,204.80,489.69,-900.00,90.15,0,0,0,513.81,9.28,457.27,8.12
30,5,1.6000,1,Ground,273.07,498.79,-900.00,90.15,0,0,0,522.97,10.23,467.08,8.14
30,5,1.6333,1,Ground,341.33,510.17,-900.00,90.15,0,0,0,539.42,13.68,474.12,12.34
30,5,1.6667,1,Ground,409.60,523.83,-900.00,90.15,0,0,0,558.48,15.52,478.85,18.37
30,6,0.0000,0,Ground,0.00,0.00,-900.00,98.00,0,0,0,29.10,16.80,-36.72,17.28
30,6,0.0333,0,JumpStart,0.00,0.00,-900.00,119.12,0,0,0,17.76,34.31,-41.05,37.60
30,6,0.0667,0,JumpStart,0.00,0.00,-900.00,139.16,0,0,0,1.72,61.55,-29.64,69.57
30,6,0.1000,0,JumpStart,0.00,0.00,-900.00,158.10,0,0,0,1.77,83.83,-15.59,99.64
30,6,0.1333,1,JumpStart,0.00,0.00,-900.00,175.96,0,0,0,10.13,106.48,-0.51,125.66
30,6,0.1667,1,JumpStart,0.00,0.00,-900.00,192.72,0,0,0,12.07,131.32,11.45,152.51
30,6,0.2000,1,JumpStart,0.00,0.00,-900.00,208.40,0,0,0,9.59,152.19,17.64,176.57
30,6,0.2333,1,JumpStart,0.00,0.00,-900.00,222.99,0,0,0,10.19,175.18,23.60,201.07
30,6,0.2667,1,JumpStart,0.00,0.00,-900.00,236.49,0,0,0,14.24,202.45,29.59,226.67
30,6,0.3000,1,JumpStart,0.00,0.00,-900.00,248.90,0,0,0,16.59,230.69,32.49,250.00
30,6,0.3333,1,JumpStart,0.00,0.00,-900.00,260.22,0,0,0,16.74,256.15,32.89,269.59
30,6,0.3667,1,JumpStart,0.00,0.00,-900.00,270.46,0,0,0,16.16,275.10,31.99,284.76
30,6,0.4000,1,JumpStart,0.00,0.00,-900.00,279.60,0,0,0,16.69,285.31,30.86,295.59
30,6,0.4333,1,JumpStart,0.00,0.00,-900.00,287.66,0,0,0,18.50,289.37,29.86,303.53
30,6,0.4667,1,JumpStart,0.00,0.00,-900.00,294.62,0,0,0,20.83,288.75,28.84,309.06
30,6,0.5000,1,JumpStart,0.00,0.00,-900.00,300.50,0,0,0,22.85,284.60,27.56,312.39
30,6,0.5333,1,JumpStart,0.00,0.00,-900.00,305.29,0,0,0,23.86,278.25,25.71,313.69
30,6,0.5667,1,JumpLoop,0.00,0.00,-900.00,308.99,0,0,0,22.63,267.62,21.84,310.96
